vehicle_id,timestamp,speed_kmph,engine_temp_c,oil_pressure_psi,vibration_g,mileage_km,age_months,fault,time_to_failure_days
VEH052,2012-03-23 14:47:16.525117,69.57,80.34,40.45,0.397,10310,46,0,
VEH093,2012-03-24 14:47:16.525117,55.7,81.13,40.32,0.191,11508,67,0,
VEH015,2012-03-25 14:47:16.525117,64.62,79.5,45.64,0.328,813,82,1,9.0
VEH072,2012-03-26 14:47:16.525117,27.65,95.18,27.85,0.368,39566,23,0,
VEH061,2012-03-27 14:47:16.525117,64.26,102.15,36.5,0.378,108488,55,1,50.0
VEH021,2012-03-28 14:47:16.525117,63.27,90.46,55.31,0.292,51333,46,1,10.0
VEH083,2012-03-29 14:47:16.525117,52.35,77.48,46.57,0.047,39417,39,0,
VEH087,2012-03-30 14:47:16.525117,28.89,92.42,45.11,0.274,98126,105,0,
VEH075,2012-03-31 14:47:16.525117,56.81,99.96,32.9,0.321,47677,119,1,21.0
VEH075,2012-04-01 14:47:16.525117,59.44,97.75,38.05,0.23,23318,86,0,
VEH088,2012-04-02 14:47:16.525117,54.49,89.49,26.25,0.094,3648,17,0,
VEH100,2012-04-03 14:47:16.525117,32.46,86.75,43.84,0.2,3400,85,0,
VEH024,2012-04-04 14:47:16.525117,83.92,90.9,48.31,0.233,1000,82,1,30.0
VEH003,2012-04-05 14:47:16.525117,50.42,99.32,30.37,0.146,10614,80,0,
VEH022,2012-04-06 14:47:16.525117,56.67,95.92,32.46,0.128,33091,83,1,22.0
VEH053,2012-04-07 14:47:16.525117,23.86,85.11,40.3,0.038,13478,47,0,
VEH002,2012-04-08 14:47:16.525117,83.92,87.91,41.13,0.334,9124,60,0,
VEH088,2012-04-09 14:47:16.525117,53.0,85.8,37.17,0.426,2313,97,1,11.0
VEH030,2012-04-10 14:47:16.525117,61.48,81.56,35.95,0.26,1062,64,1,1.0
VEH038,2012-04-11 14:47:16.525117,76.81,101.66,34.01,0.298,10189,56,0,
VEH002,2012-04-12 14:47:16.525117,49.86,83.19,40.39,0.057,2105,93,1,57.0
VEH064,2012-04-13 14:47:16.525117,74.45,94.64,43.05,0.008,2186,58,1,45.0
VEH060,2012-04-14 14:47:16.525117,29.08,83.16,40.39,0.261,10062,86,0,
VEH021,2012-04-15 14:47:16.525117,68.26,86.6,39.47,0.375,13977,14,0,
VEH033,2012-04-16 14:47:16.525117,83.58,90.27,29.42,0.176,4132,115,0,
VEH076,2012-04-17 14:47:16.525117,51.29,93.93,44.81,0.478,23080,99,0,
VEH058,2012-04-18 14:47:16.525117,76.78,88.77,39.82,0.19,10849,106,0,
VEH022,2012-04-19 14:47:16.525117,87.51,82.26,38.15,0.424,1928,8,0,
VEH089,2012-04-20 14:47:16.525117,56.18,89.96,41.53,0.183,20268,13,1,36.0
VEH049,2012-04-21 14:47:16.525117,54.94,83.61,35.58,0.131,8830,87,1,57.0
VEH091,2012-04-22 14:47:16.525117,46.53,101.68,36.34,0.452,1074,64,0,
VEH059,2012-04-23 14:47:16.525117,52.35,87.54,40.89,0.149,59123,35,0,
VEH042,2012-04-24 14:47:16.525117,47.77,84.04,36.52,0.039,16935,72,0,
VEH092,2012-04-25 14:47:16.525117,46.51,105.12,28.61,0.448,12991,60,1,57.0
VEH060,2012-04-26 14:47:16.525117,77.98,96.81,28.47,0.201,39199,39,1,43.0
VEH080,2012-04-27 14:47:16.525117,48.15,82.23,43.45,0.049,55210,48,0,
VEH015,2012-04-28 14:47:16.525117,63.88,83.87,40.43,0.466,4977,33,0,
VEH062,2012-04-29 14:47:16.525117,60.57,93.82,39.22,0.288,33229,42,0,
VEH062,2012-04-30 14:47:16.525117,82.47,91.47,32.88,0.092,35566,94,1,45.0
VEH047,2012-05-01 14:47:16.525117,52.45,96.74,39.2,0.264,1118,35,1,11.0
VEH062,2012-05-02 14:47:16.525117,65.72,84.98,38.1,0.595,24892,76,1,59.0
VEH051,2012-05-03 14:47:16.525117,71.87,96.2,35.78,0.348,1300,67,0,
VEH055,2012-05-04 14:47:16.525117,82.35,73.21,41.23,0.12,18061,115,0,
VEH064,2012-05-05 14:47:16.525117,52.23,88.38,41.94,0.367,22127,34,0,
VEH003,2012-05-06 14:47:16.525117,50.73,84.6,51.04,0.205,9147,7,0,
VEH051,2012-05-07 14:47:16.525117,44.07,85.56,43.84,0.201,42536,95,0,
VEH007,2012-05-08 14:47:16.525117,93.54,90.85,45.06,0.206,32239,110,0,
VEH021,2012-05-09 14:47:16.525117,80.77,100.15,45.61,0.479,52062,62,1,57.0
VEH073,2012-05-10 14:47:16.525117,59.37,80.74,36.34,0.283,7563,62,1,31.0
VEH039,2012-05-11 14:47:16.525117,88.97,73.94,39.68,0.433,435,47,0,
VEH018,2012-05-12 14:47:16.525117,58.47,81.62,35.41,0.304,33369,54,1,28.0
VEH004,2012-05-13 14:47:16.525117,70.87,98.72,35.04,0.573,5045,62,0,
VEH089,2012-05-14 14:47:16.525117,60.15,76.85,38.75,0.332,12590,76,0,
VEH060,2012-05-15 14:47:16.525117,65.97,85.72,36.19,0.24,34000,23,1,15.0
VEH014,2012-05-16 14:47:16.525117,64.38,96.94,40.65,0.314,4870,75,1,53.0
VEH009,2012-05-17 14:47:16.525117,53.63,89.21,42.68,0.57,7476,110,1,12.0
VEH090,2012-05-18 14:47:16.525117,76.39,99.85,31.18,0.545,11563,109,0,
VEH053,2012-05-19 14:47:16.525117,70.74,74.26,39.7,0.453,6344,32,1,23.0
VEH002,2012-05-20 14:47:16.525117,75.42,88.2,38.37,0.14,12372,59,0,
VEH084,2012-05-21 14:47:16.525117,64.8,100.94,30.07,0.073,192,110,1,45.0
VEH092,2012-05-22 14:47:16.525117,46.4,80.31,36.37,0.125,4769,29,0,
VEH060,2012-05-23 14:47:16.525117,85.64,99.56,44.28,0.373,35741,102,1,27.0
VEH071,2012-05-24 14:47:16.525117,56.06,87.92,45.37,0.193,10671,100,0,
VEH044,2012-05-25 14:47:16.525117,65.46,93.75,29.85,0.323,20234,39,0,
VEH008,2012-05-26 14:47:16.525117,69.53,100.59,41.77,0.285,5286,27,0,
VEH047,2012-05-27 14:47:16.525117,65.36,93.71,30.81,0.054,20989,93,0,
VEH035,2012-05-28 14:47:16.525117,73.73,85.96,38.0,0.344,211046,68,0,
VEH078,2012-05-29 14:47:16.525117,76.1,95.3,38.89,0.331,18091,41,1,39.0
VEH081,2012-05-30 14:47:16.525117,56.63,84.54,45.06,0.472,19796,97,0,
VEH036,2012-05-31 14:47:16.525117,84.38,93.41,38.61,0.341,2364,89,0,
VEH050,2012-06-01 14:47:16.525117,56.0,79.79,34.94,0.366,10329,66,0,
VEH004,2012-06-02 14:47:16.525117,65.05,90.49,32.85,0.18,39426,87,1,48.0
VEH002,2012-06-03 14:47:16.525117,54.18,99.22,40.09,0.398,35948,47,1,49.0
VEH006,2012-06-04 14:47:16.525117,49.9,87.1,36.49,0.407,14779,101,1,40.0
VEH054,2012-06-05 14:47:16.525117,75.66,99.53,36.59,0.431,46754,38,1,39.0
VEH004,2012-06-06 14:47:16.525117,106.83,117.09,43.11,0.401,3084,79,0,
VEH054,2012-06-07 14:47:16.525117,54.57,89.5,42.66,0.35,21469,14,1,18.0
VEH093,2012-06-08 14:47:16.525117,78.23,95.83,48.94,0.423,5723,30,0,
VEH063,2012-06-09 14:47:16.525117,55.11,93.57,33.53,0.498,20744,18,0,
VEH018,2012-06-10 14:47:16.525117,59.84,91.79,35.57,0.225,1829,52,0,
VEH090,2012-06-11 14:47:16.525117,86.36,97.62,40.34,0.171,57508,119,0,
VEH044,2012-06-12 14:47:16.525117,43.9,87.21,51.19,0.161,30866,50,1,48.0
VEH034,2012-06-13 14:47:16.525117,39.93,83.7,35.86,0.29,4486,10,0,
VEH074,2012-06-14 14:47:16.525117,58.69,77.72,41.46,0.239,20282,36,0,
VEH062,2012-06-15 14:47:16.525117,69.95,87.76,48.15,0.383,28471,36,0,
VEH100,2012-06-16 14:47:16.525117,66.95,97.56,39.54,0.462,4700,103,1,23.0
VEH014,2012-06-17 14:47:16.525117,65.41,82.75,46.84,0.019,1959,95,1,57.0
VEH095,2012-06-18 14:47:16.525117,60.51,92.0,51.55,0.238,8670,76,0,
VEH048,2012-06-19 14:47:16.525117,71.8,89.61,41.81,0.33,2917,46,1,46.0
VEH015,2012-06-20 14:47:16.525117,16.29,82.85,43.47,0.432,16680,51,0,
VEH072,2012-06-21 14:47:16.525117,48.74,74.61,46.0,0.215,11036,118,0,
VEH078,2012-06-22 14:47:16.525117,58.6,100.83,33.49,0.559,12413,57,0,
VEH087,2012-06-23 14:47:16.525117,70.57,94.67,30.64,0.406,15655,89,1,4.0
VEH062,2012-06-24 14:47:16.525117,82.35,112.44,38.71,0.469,80405,112,1,54.0
VEH040,2012-06-25 14:47:16.525117,46.72,97.97,35.45,0.323,31465,91,0,
VEH085,2012-06-26 14:47:16.525117,81.86,101.82,45.13,0.355,19856,10,1,2.0
VEH080,2012-06-27 14:47:16.525117,53.21,75.67,43.32,0.278,9041,17,0,
VEH082,2012-06-28 14:47:16.525117,58.05,75.77,47.64,0.2,548,26,0,
VEH053,2012-06-29 14:47:16.525117,68.72,90.77,32.71,0.471,2477,14,1,38.0
VEH024,2012-06-30 14:47:16.525117,56.95,80.66,46.94,0.385,26251,98,0,
VEH026,2012-07-01 14:47:16.525117,76.65,85.38,26.67,0.457,9215,96,0,
VEH089,2012-07-02 14:47:16.525117,53.93,109.91,31.29,0.244,8142,22,0,
VEH060,2012-07-03 14:47:16.525117,54.16,99.23,42.87,0.185,43960,109,0,
VEH041,2012-07-04 14:47:16.525117,75.78,83.3,37.65,0.34,13252,29,0,
VEH029,2012-07-05 14:47:16.525117,48.55,70.5,39.51,0.19,45967,32,0,
VEH015,2012-07-06 14:47:16.525117,63.73,82.03,41.44,0.299,43543,13,0,
VEH045,2012-07-07 14:47:16.525117,35.09,84.3,49.1,0.104,1671,49,0,
VEH065,2012-07-08 14:47:16.525117,87.29,88.79,28.59,0.075,58140,67,1,18.0
VEH089,2012-07-09 14:47:16.525117,78.1,80.67,48.42,0.288,1601,34,1,57.0
VEH071,2012-07-10 14:47:16.525117,101.25,101.1,46.73,0.242,66212,88,1,10.0
VEH009,2012-07-11 14:47:16.525117,80.08,85.31,37.44,0.384,12052,79,1,2.0
VEH088,2012-07-12 14:47:16.525117,43.06,94.34,35.4,0.229,28614,29,1,51.0
VEH001,2012-07-13 14:47:16.525117,70.03,90.93,39.2,0.172,24493,39,0,
VEH008,2012-07-14 14:47:16.525117,46.23,96.82,35.02,0.006,14616,65,1,30.0
VEH088,2012-07-15 14:47:16.525117,83.67,89.28,42.14,0.484,19323,109,0,
VEH063,2012-07-16 14:47:16.525117,43.48,81.77,43.67,0.364,59881,36,0,
VEH011,2012-07-17 14:47:16.525117,42.76,84.35,31.24,0.047,52442,115,0,
VEH081,2012-07-18 14:47:16.525117,35.85,84.12,35.07,0.029,21245,9,0,
VEH008,2012-07-19 14:47:16.525117,52.67,106.15,31.27,0.291,21442,110,1,24.0
VEH035,2012-07-20 14:47:16.525117,49.66,90.09,41.28,0.443,5672,114,0,
VEH035,2012-07-21 14:47:16.525117,41.08,89.09,45.32,0.216,35277,100,0,
VEH033,2012-07-22 14:47:16.525117,89.85,98.55,32.7,0.312,20026,14,0,
VEH005,2012-07-23 14:47:16.525117,67.95,90.4,45.15,0.451,35002,95,1,48.0
VEH041,2012-07-24 14:47:16.525117,66.18,99.28,33.52,0.198,21450,82,0,
VEH028,2012-07-25 14:47:16.525117,83.84,88.22,44.49,0.189,7114,117,0,
VEH007,2012-07-26 14:47:16.525117,63.84,86.4,38.66,0.315,4201,95,0,
VEH073,2012-07-27 14:47:16.525117,48.77,81.6,38.19,0.216,1601,59,1,24.0
VEH072,2012-07-28 14:47:16.525117,34.5,103.53,45.5,0.236,17637,6,0,
VEH012,2012-07-29 14:47:16.525117,47.92,88.84,50.84,0.4,6682,109,0,
VEH034,2012-07-30 14:47:16.525117,82.58,81.74,29.18,0.336,19912,66,0,
VEH033,2012-07-31 14:47:16.525117,41.17,90.63,43.53,0.428,1208,78,0,
VEH048,2012-08-01 14:47:16.525117,65.3,85.06,41.56,0.252,9421,36,1,49.0
VEH023,2012-08-02 14:47:16.525117,75.51,87.66,44.18,0.024,6037,93,1,40.0
VEH062,2012-08-03 14:47:16.525117,64.28,92.7,31.1,0.315,9251,50,1,35.0
VEH088,2012-08-04 14:47:16.525117,65.98,102.47,32.25,0.187,1116,118,1,39.0
VEH037,2012-08-05 14:47:16.525117,69.83,91.3,35.84,0.002,25760,65,1,59.0
VEH099,2012-08-06 14:47:16.525117,65.69,84.6,41.82,0.232,2481,91,1,10.0
VEH044,2012-08-07 14:47:16.525117,84.14,87.17,35.89,0.301,290,78,1,27.0
VEH086,2012-08-08 14:47:16.525117,44.4,94.47,37.61,0.562,58482,108,0,
VEH091,2012-08-09 14:47:16.525117,63.61,74.51,46.53,0.042,4285,92,0,
VEH035,2012-08-10 14:47:16.525117,32.73,80.29,53.26,0.353,35212,89,0,
VEH065,2012-08-11 14:47:16.525117,28.89,90.15,44.54,0.061,66747,47,0,
VEH099,2012-08-12 14:47:16.525117,58.77,76.29,46.53,0.422,15276,90,0,
VEH047,2012-08-13 14:47:16.525117,68.15,87.91,39.12,0.184,14935,32,0,
VEH078,2012-08-14 14:47:16.525117,84.46,87.4,34.92,0.237,9158,63,1,35.0
VEH003,2012-08-15 14:47:16.525117,96.3,98.83,37.16,0.296,11088,74,0,
VEH001,2012-08-16 14:47:16.525117,79.8,88.99,39.75,0.409,13158,86,1,29.0
VEH005,2012-08-17 14:47:16.525117,70.91,100.04,32.04,0.133,3299,103,0,
VEH090,2012-08-18 14:47:16.525117,62.4,90.75,44.82,0.277,9074,78,0,
VEH014,2012-08-19 14:47:16.525117,37.03,103.06,47.81,0.269,33868,39,1,16.0
VEH027,2012-08-20 14:47:16.525117,57.81,78.79,41.86,0.574,4027,15,0,
VEH009,2012-08-21 14:47:16.525117,79.36,103.9,45.11,0.207,26175,113,1,21.0
VEH079,2012-08-22 14:47:16.525117,73.47,87.38,47.51,0.1,21087,71,0,
VEH015,2012-08-23 14:47:16.525117,40.7,100.83,32.71,0.608,1180,116,0,
VEH090,2012-08-24 14:47:16.525117,69.21,99.94,28.58,0.423,453,30,0,
VEH042,2012-08-25 14:47:16.525117,67.93,67.58,39.25,0.07,8693,8,1,21.0
VEH077,2012-08-26 14:47:16.525117,65.25,94.1,40.17,0.316,23564,39,0,
VEH051,2012-08-27 14:47:16.525117,59.58,97.96,32.03,0.22,8022,76,0,
VEH063,2012-08-28 14:47:16.525117,69.98,101.13,47.42,0.062,22036,33,0,
VEH096,2012-08-29 14:47:16.525117,70.46,81.11,52.58,0.231,21899,14,1,7.0
VEH052,2012-08-30 14:47:16.525117,50.38,94.24,40.65,0.295,32855,16,1,11.0
VEH096,2012-08-31 14:47:16.525117,66.83,91.9,33.92,0.36,2095,98,0,
VEH004,2012-09-01 14:47:16.525117,57.16,93.31,42.59,0.171,17213,85,0,
VEH094,2012-09-02 14:47:16.525117,37.69,96.88,33.4,0.218,1290,44,0,
VEH023,2012-09-03 14:47:16.525117,51.58,98.83,45.98,0.288,3870,98,0,
VEH015,2012-09-04 14:47:16.525117,36.54,83.58,39.25,0.121,7875,18,0,
VEH043,2012-09-05 14:47:16.525117,74.7,92.86,44.08,0.485,24578,104,0,
VEH029,2012-09-06 14:47:16.525117,65.34,90.6,45.35,0.43,72899,16,1,54.0
VEH036,2012-09-07 14:47:16.525117,54.67,87.82,43.45,0.212,8386,40,0,
VEH013,2012-09-08 14:47:16.525117,81.31,89.92,50.72,0.38,14727,116,0,
VEH032,2012-09-09 14:47:16.525117,61.02,91.62,40.91,0.122,5996,13,0,
VEH071,2012-09-10 14:47:16.525117,38.53,84.11,37.57,0.201,22508,12,1,55.0
VEH059,2012-09-11 14:47:16.525117,53.41,96.73,26.71,0.553,9132,74,0,
VEH086,2012-09-12 14:47:16.525117,84.49,101.38,25.16,0.454,13140,75,1,13.0
VEH028,2012-09-13 14:47:16.525117,49.96,82.93,44.62,0.308,16777,62,1,58.0
VEH066,2012-09-14 14:47:16.525117,64.13,100.75,37.82,0.3,23182,40,1,27.0
VEH042,2012-09-15 14:47:16.525117,71.16,84.01,35.71,0.264,1238,99,1,15.0
VEH045,2012-09-16 14:47:16.525117,68.85,97.62,32.55,0.118,16189,16,0,
VEH062,2012-09-17 14:47:16.525117,96.74,102.37,43.21,0.313,11283,43,0,
VEH057,2012-09-18 14:47:16.525117,42.36,88.36,34.26,0.348,2871,96,0,
VEH006,2012-09-19 14:47:16.525117,43.85,82.71,50.51,0.26,4664,90,1,59.0
VEH028,2012-09-20 14:47:16.525117,42.6,84.42,54.66,0.268,43064,83,0,
VEH028,2012-09-21 14:47:16.525117,55.56,92.67,34.33,0.215,41079,54,1,44.0
VEH044,2012-09-22 14:47:16.525117,76.49,106.54,42.36,0.247,677,40,1,49.0
VEH084,2012-09-23 14:47:16.525117,44.52,75.68,44.07,0.079,23385,34,0,
VEH030,2012-09-24 14:47:16.525117,76.7,91.64,33.91,0.27,16157,93,0,
VEH062,2012-09-25 14:47:16.525117,60.53,89.32,34.18,0.407,56206,105,0,
VEH075,2012-09-26 14:47:16.525117,43.37,85.52,39.71,0.149,47720,46,0,
VEH092,2012-09-27 14:47:16.525117,33.73,88.04,33.37,0.296,17329,114,1,47.0
VEH089,2012-09-28 14:47:16.525117,37.09,84.52,47.1,0.275,2992,101,1,57.0
VEH062,2012-09-29 14:47:16.525117,50.01,99.45,37.58,0.487,12316,11,0,
VEH097,2012-09-30 14:47:16.525117,57.46,100.61,32.21,0.355,25831,15,1,54.0
VEH001,2012-10-01 14:47:16.525117,80.19,91.71,39.29,0.085,60621,89,0,
VEH027,2012-10-02 14:47:16.525117,71.99,89.47,42.85,0.616,9045,89,0,
VEH062,2012-10-03 14:47:16.525117,47.42,85.43,36.11,0.423,30711,95,1,31.0
VEH077,2012-10-04 14:47:16.525117,66.13,91.03,27.94,0.378,22998,90,0,
VEH003,2012-10-05 14:47:16.525117,84.77,106.02,39.16,0.294,1630,114,1,14.0
VEH070,2012-10-06 14:47:16.525117,88.11,90.58,32.64,0.255,16327,28,1,5.0
VEH072,2012-10-07 14:47:16.525117,55.28,83.05,35.93,0.052,4054,51,0,
VEH027,2012-10-08 14:47:16.525117,74.37,87.54,43.06,0.238,23011,17,0,
VEH009,2012-10-09 14:47:16.525117,80.85,97.07,35.77,0.362,18836,60,0,
VEH062,2012-10-10 14:47:16.525117,37.39,83.13,39.84,0.262,72274,18,1,19.0
VEH037,2012-10-11 14:47:16.525117,52.31,89.35,48.78,0.56,54785,79,1,7.0
VEH097,2012-10-12 14:47:16.525117,93.3,95.45,37.34,0.428,188,12,1,26.0
VEH051,2012-10-13 14:47:16.525117,55.48,84.64,52.66,0.419,1668,106,0,
VEH044,2012-10-14 14:47:16.525117,16.07,73.69,46.07,0.299,29318,17,0,
VEH024,2012-10-15 14:47:16.525117,58.19,81.34,35.28,0.281,23144,66,0,
VEH079,2012-10-16 14:47:16.525117,76.87,83.97,37.74,0.338,32283,30,0,
VEH059,2012-10-17 14:47:16.525117,60.1,88.17,32.61,0.007,6207,7,1,29.0
